code,name,ip_2015_17,ip_2022_24,D1,D2,D3,D4,rule
ABW,Aruba,0.9797837,1.0619186666666665,US,US,US,US,주권국 NLD
AFG,Afghanistan,-0.7796914999999999,-0.29121855,NON,NON,NON,CN,이념점수
AGO,Angola,-0.7356981333333333,-0.5519519333333333,NON,CN,NON,CN,이념점수
AIA,Anguilla,1.5754553333333334,1.68348,US,US,US,US,주권국 GBR
ALB,Albania,0.9401822666666666,1.0904213333333332,US,US,US,US,이념점수
AND,Andorra,0.8209569999999999,0.7522100666666667,US,US,US,US,이념점수
ANT_F,Former Netherlands Antilles,,,,,NON,,미배정(이념점수 없음)
ARE,United Arab Emirates,-0.6980004333333333,-0.5907382333333334,NON,CN,NON,CN,이념점수
ARG,Argentina,-0.15030103333333333,0.33616389333333335,NON,NON,NON,CN,이념점수
ARM,Armenia,0.1314004,0.04298312333333334,NON,NON,NON,CN,이념점수
ATG,Antigua and Barbuda,-0.47335763333333336,-0.3212736333333333,CN,NON,NON,CN,이념점수
AUS,Australia,1.1784480000000002,1.139881,US,US,US,US,이념점수
AUT,Austria,0.6465001,0.8694332,US,US,US,US,이념점수
AZE,Azerbaijan,-0.6756885333333335,-0.5919561333333333,NON,CN,NON,CN,이념점수
BDI,Burundi,-1.3633553333333335,-0.9783596,NON,CN,NON,CN,이념점수
BEL,Belgium,1.0021509333333334,1.0010151666666667,US,US,US,US,이념점수
BEN,Benin,-0.5464281333333333,-0.2970356,NON,NON,NON,CN,이념점수
BFA,Burkina Faso,-0.5600144333333333,-0.6455194999999999,NON,CN,NON,CN,이념점수
BGD,Bangladesh,-0.8344642333333333,-0.5432481,NON,CN,NON,CN,이념점수
BGR,Bulgaria,0.9458925666666667,1.0743606666666665,US,US,US,US,이념점수
BHR,Bahrain,-0.6974103666666668,-0.6369589,NON,CN,NON,CN,이념점수
BHS,Bahamas,-0.43086889999999994,-0.1506913,CN,NON,NON,CN,이념점수
BIH,Bosnia and Herzegovina,0.7297572666666667,0.7816173000000001,US,US,NON,CN,이념점수
BLR,Belarus,-0.2940984,-0.8528600333333333,CN,CN,CN,CN,이념점수
BLZ,Belize,-0.3797030666666667,-0.28246496666666665,CN,NON,NON,CN,이념점수
BMU,Bermuda,1.5754553333333334,1.68348,US,US,US,US,주권국 GBR
BOL,Bolivia,-1.4265096666666668,-0.9610777,NON,CN,NON,CN,이념점수
BRA,Brazil,-0.45101043333333335,-0.1583278,CN,NON,NON,CN,이념점수
BRB,Barbados,-0.38842233333333337,-0.2099029,CN,NON,NON,CN,이념점수
BRN,Brunei Darussalam,-0.8972394,-0.6874663333333334,NON,CN,NON,CN,이념점수
BTN,Bhutan,-0.5138410333333333,-0.3217331333333333,CN,NON,NON,CN,이념점수
BWA,Botswana,-0.4177005333333333,-0.41369159999999994,CN,NON,NON,CN,이념점수
CAF,Central African Republic,-0.17100347000000002,-0.5047329,CN,NON,NON,CN,이념점수
CAN,Canada,1.5360773333333333,1.2410323333333333,US,US,US,US,이념점수
CHE,Switzerland,0.6224925666666666,0.7065031666666667,US,NON,US,US,이념점수
CHL,Chile,-0.3226474,0.011334853333333332,CN,NON,NON,CN,이념점수
CHN,China (People’s Republic of),-0.3538583,-0.9243845,CN,CN,CN,CN,이념점수
CIV,Côte d’Ivoire,-0.20437134999999998,-0.08129077666666668,CN,NON,NON,CN,이념점수
CMR,Cameroon,0.023414383333333334,-0.1897523,NON,NON,NON,CN,이념점수
COD,Democratic Republic of the Congo,-0.5843854999999999,-0.17140922,NON,NON,NON,CN,이념점수
COG,Congo,-0.7184486,-0.5810614,NON,CN,NON,CN,이념점수
COL,Colombia,-0.1851478666666667,-0.13829871000000002,CN,NON,NON,CN,이념점수
COM,Comoros,-0.6927724666666667,-0.41680226666666664,NON,NON,NON,CN,이념점수
CPV,Cabo Verde,-0.4804394333333333,-0.16337783333333333,CN,NON,NON,CN,이념점수
CRI,Costa Rica,-0.21593476666666667,-0.039062063333333334,CN,NON,NON,CN,이념점수
CUB,Cuba,-1.7336106666666666,-1.2548563333333334,NON,CN,NON,CN,이념점수
CUW,Curaçao,0.9797837,1.0619186666666665,US,US,US,US,주권국 NLD
CYM,Cayman Islands,1.5754553333333334,1.68348,US,US,US,US,주권국 GBR
CYP,Cyprus,0.5876762,0.6916478333333332,NON,NON,US,US,이념점수
CZE,Czechia,1.154028,1.299364,US,US,US,US,이념점수
DEU,Germany,1.1453606666666667,1.1710963333333335,US,US,US,US,이념점수
DJI,Djibouti,-0.696335,-0.5689017,NON,CN,NON,CN,이념점수
DMA,Dominica,-0.42411,-0.32007996666666666,CN,NON,NON,CN,이념점수
DNK,Denmark,1.0437683333333334,1.1067333333333333,US,US,US,US,이념점수
DOM,Dominican Republic,-0.5789292666666667,-0.06624916666666666,NON,NON,NON,CN,이념점수
DZA,Algeria,-1.1389661666666668,-0.9439232,NON,CN,NON,CN,이념점수
ECU,Ecuador,-0.9251215,-0.06220573666666667,NON,NON,NON,CN,이념점수
EGY,Egypt,-1.1245421666666666,-0.7804629333333333,NON,CN,NON,CN,이념점수
ERI,Eritrea,-0.696109,-1.0445325,NON,CN,CN,CN,이념점수
